68	87	65	77	86	80	86	83	87	66	86	88	66	82	65	72	90	67	72	86	72	65	75	77	82	66	72	85	84	70
75	68	66	80	68	67	76	65	66	88	89	89	77	75	66	77	85	88	78	70	69	88	83	80	89	79	78	84	71	90
85	75	82	73	84	89	69	69	78	78	77	83	67	71	88	90	79	89	85	76	85	69	82	65	75	67	66	72	81	78
65	79	70	68	68	83	87	77	86	65	65	83	76	69	67	87	71	70	88	76	87	73	82	88	74	68	86	85	76	70
74	66	69	79	76	77	85	73	79	66	73	76	83	78	87	74	82	71	65	75	71	78	65	85	77	73	86	74	78	73
67	67	79	81	69	71	66	88	69	86	79	72	89	77	76	75	77	74	86	76	79	74	88	78	85	66	71	77	89	77
71	68	67	68	66	65	81	84	84	89	90	78	65	82	79	77	88	75	84	87	86	65	66	88	69	87	72	89	82	68
67	66	76	68	74	66	82	78	67	65	86	89	86	67	85	82	74	74	84	74	72	78	66	70	88	82	83	80	90	76
82	75	79	74	67	82	71	74	82	87	67	71	85	86	84	88	67	67	68	88	83	69	84	69	77	66	82	79	79	65
65	70	68	65	87	71	83	79	72	87	90	76	81	79	85	89	73	67	90	72	77	73	79	78	74	66	85	67	79	65
84	88	69	66	87	70	86	77	66	90	81	69	88	67	66	70	79	78	70	75	65	82	88	85	90	72	69	73	68	68
79	88	77	74	84	81	72	73	85	84	67	80	78	77	82	84	82	74	70	74	86	79	90	65	78	75	90	68	82	67
90	89	74	85	76	72	79	66	90	90	71	67	82	81	79	86	78	66	83	73	83	84	78	88	71	89	75	76	82	90
82	86	89	78	71	81	73	76	90	81	87	76	66	69	85	77	81	72	72	76	84	84	90	75	86	69	78	67	84	86
66	74	87	72	84	67	78	86	74	79	87	72	89	82	66	73	87	73	68	65	70	82	77	90	75	72	70	89	75	71
82	65	71	79	83	84	79	78	71	90	88	75	82	83	74	69	68	89	89	89	78	70	71	89	71	76	79	81	87	81
78	66	85	70	79	90	79	84	84	66	77	79	70	85	68	79	81	75	68	88	74	65	84	69	82	77	81	70	88	88
65	82	87	74	88	79	72	83	86	72	79	71	80	88	84	89	88	84	77	70	79	73	84	81	65	77	75	90	84	67
77	73	78	81	66	74	79	84	74	81	76	73	90	73	77	77	77	72	72	81	73	88	69	68	84	68	85	78	72	89
65	76	80	70	80	71	83	89	82	83	80	74	73	90	87	78	77	81	88	70	83	89	84	85	90	77	68	69	65	78
67	84	72	89	78	81	77	77	79	86	68	77	73	74	76	71	77	66	66	74	84	86	79	69	82	81	71	77	86	85
68	88	67	82	83	75	74	69	78	86	69	90	69	71	86	74	79	83	73	88	90	83	84	83	67	85	69	74	75	71
89	72	85	66	81	84	83	66	76	73	90	82	89	78	85	82	70	89	87	82	72	71	90	69	77	84	83	65	70	78
77	68	74	74	78	87	69	67	65	66	69	71	83	75	90	69	81	76	84	76	76	90	85	66	85	78	79	78	90	79
77	77	65	78	69	74	89	66	67	88	77	80	67	68	70	80	87	82	70	82	73	68	88	89	72	85	80	70	72	86
71	76	85	83	85	67	69	72	70	82	66	67	82	87	78	89	71	83	81	81	86	86	65	67	65	87	65	67	84	69
69	70	88	87	85	80	73	68	90	75	82	89	79	80	69	68	89	74	90	90	75	73	84	83	89	79	73	66	66	77
78	81	70	67	88	86	77	65	82	67	79	78	78	80	83	68	90	73	75	69	87	87	79	71	70	85	76	68	89	66
70	76	74	65	69	71	71	66	65	68	68	73	77	70	67	75	89	65	81	75	72	66	74	73	80	89	76	88	68	82
77	89	65	90	74	85	65	90	72	88	68	74	69	80	87	84	69	86	66	78	69	70	69	86	69	82	69	73	82	79
